id,Total_Voters
wilson.hall,5752
chicopee.hall,3728
oakwood i.hall,2821
oakwood ii.hall,4164
flowery branch i.hall,4382
flowery branch ii.hall,3545
roberts.hall,5690
morgan i.hall,4013
morgan ii.hall,4805
candler.hall,5835
tadmore.hall,6643
glade.hall,4059
lula.hall,3539
clermont.hall,3490
quillians.hall,2914
bark camp.hall,5951
chestatee.hall,3862
fork.hall,3529
whelchel.hall,4357
west whelchel.hall,3787
gainesville i.hall,4067
gainesville ii.hall,3267
gainesville iii.hall,5246
gainesville iv.hall,2887
gainesville v.hall,1659
gillsville.hall,1219
big hickory.hall,3805
friendship i.hall,8328
friendship ii.hall,3318
friendship iii.hall,4575
friendship iv.hall,3293
fairground.bleckley,7558
concord.pike,1494
hollonville.pike,1749
meansville.pike,1315
molena.pike,1545
second district.pike,2565
lifsey springs.pike,1134
williamson.pike,1801
zebulon.pike,2222
sylvania.screven,1224
hunters.screven,500
newington.screven,1117
jenk hill fire sta.screven,1199
rocky ford.screven,515
bay branch.screven,954
hiltonia.screven,913
screven rec dept.screven,422
greenhill church.screven,883
sr citizens center.screven,1218
jackson fire station.screven,388
cooperville fire station.screven,277
senior center.stephens,18068
39 newbranch.toombs,1418
43 cedar crossing.toombs,1455
513 vpd.toombs,5783
514 stialc.toombs,3876
15361 lyons.toombs,3693
annex.treutlen,1948
soperton.treutlen,2298
alamo.wheeler,1856
glenwood.wheeler,1313
4-15c skidaway island state park.chatham,1853
activity center.chattahoochee,3936
gray.jones,2780
clinton.jones,2310
roberts.jones,2782
davidson.jones,1588
pope.jones,1817
barron.jones,1355
sanders.jones,201
finney.jones,2559
hawkins.jones,3259
ethridge.jones,1755
